LapNumber,LapDistance,Speed,LateralAcceleration,LongitudinalAcceleration,FRH,RRH,Yaw,Steer,Roll,FlapAngle,BrakeForce,ThrottlePedal,CzF,CzR,Cx,CornerPhase,GPSLatCoord,GPSLongCoord
1,0.020809324,0.926562875,0.005578801,0.050553396,0.264872636,0.135449542,-0.027483604,0.000140096,0.001485295,20,-8.32E-05,1,1.451717092,1.416610988,0.876088586,Straight-line,26.03116667,50.5104
1,0.02153795,0.927217108,0.008926081,0.039485493,0.267944644,0.124575733,-0.02833922,0.000230148,0.012117048,20,6.87E-06,1,1.446786771,1.415542922,0.875755296,Straight-line,26.0312,50.5104
1,0.022259616,0.926556021,-0.00585774,0.079270114,0.270705039,0.128123578,-0.029547399,0.000224809,0.015132572,20,-0.000119138,1,1.4472668,1.41626223,0.875898046,Straight-line,26.03123333,50.5104
1,0.022985737,0.928493372,-0.010041841,0.055937779,0.270739296,0.124390594,-0.030634046,0.000206155,0.009512374,20,-2.15E-05,1,1.445847527,1.415697149,0.875729368,Straight-line,26.03126667,50.5104
1,0.023718816,0.928627348,-0.005299861,0.023631468,0.270295823,0.119932615,-0.029214321,0.000246648,0.003050582,20,-0.000113898,1,1.444374243,1.415044254,0.875534891,Straight-line,26.0313,50.5104
1,0.024447444,0.929005481,0.006973504,0.000299132,0.270900245,0.128492508,-0.023749248,0.000305027,0.002817263,20,0.000128503,1,1.447529041,1.416379804,0.875851594,Straight-line,26.03133333,50.5104
1,0.025171245,0.93050366,-0.01617852,0.060424767,0.271473436,0.114140857,-0.016369284,0.000328731,0.007149073,20,-0.000158263,1,1.442205892,1.414682406,0.875372345,Straight-line,26.03138333,50.5104
1,0.025899869,0.930912313,-0.010320782,0.005085253,0.271369101,0.120148536,-0.01202522,0.000310706,0.011189084,20,-3.75E-05,1,1.444522974,1.415546506,0.875593667,Straight-line,26.03141667,50.51041667
1,0.026623671,0.931922435,-0.005578801,0.05833084,0.269937033,0.136689939,-0.014328516,0.000224259,0.0131329,20,9.22E-05,1,1.451027481,1.417569351,0.876194235,Straight-line,26.03145,50.51041667
1,0.027361576,0.932322553,-0.017852162,0.063416089,0.27199729,0.126644399,-0.022858798,3.85E-05,0.012844745,20,-0.000124229,1,1.446543313,1.416323425,0.875834645,Straight-line,26.03148333,50.51041667
1,0.028083242,0.93357179,-0.007531382,0.034998507,0.283536068,0.143764289,-0.034617542,-0.000209685,0.010286895,20,7.77E-05,1,1.449230303,1.419310588,0.87642013,Straight-line,26.03151667,50.51041667
1,0.028816138,0.932776856,-0.032078108,0.052946461,0.301672075,0.17950535,-0.046211139,-0.000361905,0.004112076,20,-0.000130663,1,1.456860864,1.424934225,0.877641744,Straight-line,26.03155,50.51041667
1,0.029544949,0.934690412,-0.007531381,0.062219561,0.313804173,0.17683115,-0.054657912,-0.000186692,-0.005368903,20,-3.38E-05,1,1.451843595,1.425098561,0.877363518,Straight-line,26.03158333,50.51041667
